code,name,parent,area,density,age_med,2018,2019,2020,2021,2022,2023,pop
1,Bronx 1&2,1,31651,32.8,41.6,44892,43150,52919,57745,61750,61044,56269
1,Bronx 3&6,1,31120,38.4,36.2,57216,55204,68992,79142,82511,85489,62497
1,Bronx 4,1,42963,34.6,45.3,57713,52463,71627,77103,85027,78800,52974
1,Bronx 5,1,32049,38,41,48498,46580,60272,70003,72583,67911,132380
1,Bronx 7,1,23874,28.6,43.2,52666,49664,62793,73511,75037,76008,132380
1,Bronx 8,1,76271,10.6,41,31011,30016,35603,42430,50428,45088,87280
1,Bronx 9,1,46904,23.7,42.6,44648,42793,55261,66139,62157,56203,184743
1,Bronx 10,1,61426,18.9,36.6,30484,31539,35594,39046,36843,34917,136930
1,Bronx 11,1,61668,17.6,43.5,35712,34573,38463,43346,45986,47551,114874
1,Bronx 12,1,60483,26,35.9,50597,49171,125281,102307,154433,68264,153790
2,Manhattan 1&2,2,159292,8.5,49.5,56059,58787,51945,60248,59060,67565,149102
2,Manhattan 3,2,56386,26,42.7,46772,49439,54729,60996,60575,59949,141787
2,Manhattan 4,2,110114,15.4,44.5,38746,37466,40848,49361,49254,53666,112582
2,Manhattan 5&6,2,142767,9,37.6,62591,67205,60267,71673,76820,91563,183089
2,Manhattan 7,2,140255,10.5,37.2,44254,44607,48520,62925,63584,75810,226989
2,Manhattan 8,2,143047,7.2,31.7,38005,36472,38352,40469,43478,48843,206975
2,Manhattan 9,2,59472,24.2,47.9,39142,35294,44823,48332,47869,51386,105801
2,Manhattan 10,2,50079,28.2,29.7,46606,47501,61571,70063,71177,74688,138953
2,Manhattan 11,2,35570,38.2,47.7,30653,29304,39688,44799,44054,42189,128317
2,Manhattan 12,2,59898,20.1,39.6,78779,73282,109220,105898,100334,96450,202678
3,Brooklyn 1,3,95111,18.8,37.9,64467,66939,73495,76263,76951,81312,186944
3,Brooklyn 2,3,131217,12.9,37.7,40318,43329,41461,49406,57818,69816,135987
3,Brooklyn 3,3,71123,24.8,32.4,63255,61865,67279,76845,67097,65284,166380
3,Brooklyn 4,3,90757,19.9,46.1,44742,47768,50703,54291,49993,50041,94423
3,Brooklyn 5,3,54431,24.6,40.7,58730,55015,63388,74027,75370,82828,200828
3,Brooklyn 6,3,156437,9.3,38.8,43812,41453,41091,46425,42703,54384,107930
3,Brooklyn 7,3,83202,20.7,49.6,33538,34481,34007,39348,39034,41936,129890
3,Brooklyn 8,3,78598,20.2,40.5,42480,40877,43097,52255,49050,53093,107419
3,Brooklyn 9,3,77119,17,37.1,42449,38146,42229,45512,45171,43975,94109
3,Brooklyn 10,3,81305,12.5,34.8,46743,42577,42932,45171,42353,45286,116696
3,Brooklyn 11,3,59214,19.5,42.1,48702,50378,49390,50840,51282,57298,184415
3,Brooklyn 12,3,66061,23.8,36.9,42798,44370,44476,47578,46836,49232,191368
3,Brooklyn 13,3,43146,24.9,38.4,20906,19507,20179,22537,22913,31093,119482
3,Brooklyn 14,3,71351,21.3,39.6,53686,53095,56488,62529,62528,67706,152340
3,Brooklyn 15,3,61037,19.1,43.8,44814,46529,44580,45395,44825,53765,151970
3,Brooklyn 16,3,35431,39.1,35.1,26011,26989,26601,31786,28728,29979,99827
3,Brooklyn 17,3,70874,17.8,35.3,59005,52586,53089,63284,60126,59657,160620
3,Brooklyn 18,3,84272,11.5,42.6,50530,51846,56843,57860,49218,50555,189888
4,Queens 1,4,81167,16.1,41.6,58776,57933,69152,72945,72056,75403,177115
4,Queens 2,4,81167,11.5,38.3,33179,33975,39736,40994,42660,50352,125926
4,Queens 3,4,77503,15.6,35.3,35635,37322,43020,45621,46148,50360,162686
4,Queens 4,4,64028,17.9,34.2,31387,32276,33441,39612,40910,46044,160534
4,Queens 5,4,86150,11.3,32.3,66711,70378,73904,80611,74641,77530,175992
4,Queens 6,4,90502,10.6,51,25105,24799,27340,30800,28565,33090,128592
4,Queens 7,4,70508,16,43.1,63061,60314,64720,72466,68028,68511,246851
4,Queens 8,4,78087,11.8,46.6,44395,47294,49585,59540,49526,54616,148045
4,Queens 9,4,81823,11.5,44.6,50213,52401,56614,57021,51708,53042,136313
4,Queens 10,4,94153,9.1,48.2,49456,47311,51769,53829,53122,58683,129072
4,Queens 11,4,99269,8.4,47.9,36060,31586,32723,35280,29705,31059,118293
4,Queens 12,4,72397,13.4,48.8,65901,66888,76970,83487,73535,76337,248158
4,Queens 13,4,101052,8.7,45.1,51796,52907,54977,54818,46329,48437,193823
4,Queens 14,4,64280,17.6,40.7,29129,29837,32228,34620,33513,33634,126629
5,Staten Island 1,5,81246,15,40.9,61791,61534,58567,65793,52731,51943,184556
5,Staten Island 2,5,91734,9.6,48.8,39908,38126,35988,40809,35271,33108,145506
5,Staten Island 3,5,108376,7.8,42.8,47017,47479,47154,54275,45563,41682,161071
