code,name,parent,pop,poverty,income,age_med
1,Bronx 1&2,1,"56,269",32.8,"31,651",35.5
1,Bronx 3&6,1,"62,497",38.4,"31,120",31.7
1,Bronx 4,1,"52,974",34.6,"42,963",34.5
1,Bronx 5,1,"132,380",38,"32,049",35.5
1,Bronx 7,1,132380,28.6,"23,874",35.2
1,Bronx 8,1,"87,280",10.6,"76,271",41.2
1,Bronx 9,1,"184,743",23.7,"46,904",35.2
1,Bronx 10,1,"136,930",18.9,"61,426",40.2
1,Bronx 11,1,"114,874",17.6,"61,668",39.4
1,Bronx 12,1,"153,790",26,"60,483",35.3
2,Manhattan 1&2,2,"149,102",8.5,"159,292",35.5
2,Manhattan 3,2,"141,787",26,"56,386",40.5
2,Manhattan 4,2,"112,582",15.4,"110,114",38.2
2,Manhattan 5&6,2,"183,089",9,"142,767",37.9
2,Manhattan 7,2,"226,989",10.5,"140,255",43.3
2,Manhattan 8,2,"206,975",7.2,"143,047",42.1
2,Manhattan 9,2,"105,801",24.2,"59,472",35.5
2,Manhattan 10,2,"138,953",28.2,"50,079",37.6
2,Manhattan 11,2,"128,317",38.2,"35,570",36.9
2,Manhattan 12,2,"202,678",20.1,"59,898",38.2
3,Brooklyn 1,3,"186,944",18.8,"95,111",32.6
3,Brooklyn 2,3,"135,987",12.9,"131,217",34.9
3,Brooklyn 3,3,"166,380",24.8,"71,123",33.5
3,Brooklyn 4,3,"94,423",19.9,"90,757",33.6
3,Brooklyn 5,3,"200,828",24.6,"54,431",35.6
3,Brooklyn 6,3,"107,930",9.3,"156,437",39
3,Brooklyn 7,3,"129,890",20.7,"83,202",37.2
3,Brooklyn 8,3,"107,419",20.2,"78,598",36
3,Brooklyn 9,3,"94,109",17,"77,119",34.4
3,Brooklyn 10,3,"116,696",12.5,"81,305",42.8
3,Brooklyn 11,3,"184,415",19.5,"59,214",40.4
3,Brooklyn 12,3,"191,368",23.8,"66,061",26.5
3,Brooklyn 13,3,"119,482",24.9,"43,146",42.4
3,Brooklyn 14,3,"152,340",21.3,"71,351",39
3,Brooklyn 15,3,"151,970",19.1,"61,037",44
3,Brooklyn 16,3,"99,827",39.1,"35,431",35.4
3,Brooklyn 17,3,"160,620",17.8,"70,874",40.3
3,Brooklyn 18,3,"189,888",11.5,"84,272",42.6
4,Queens 1,4,"177,115",16.1,"81,167",36.6
4,Queens 2,4,"125,926",11.5,"81,167",36.5
4,Queens 3,4,"162,686",15.6,"77,503",40
4,Queens 4,4,"160,534",17.9,"64,028",37.2
4,Queens 5,4,"175,992",11.3,"86,150",38.6
4,Queens 6,4,"128,592",10.6,"90,502",44.1
4,Queens 7,4,"246,851",16,"70,508",49.2
4,Queens 8,4,"148,045",11.8,"78,087",40.4
4,Queens 9,4,"136,313",11.5,"81,823",40.2
4,Queens 10,4,"129,072",9.1,"94,153",41.9
4,Queens 11,4,"118,293",8.4,"99,269",43.8
4,Queens 12,4,"248,158",13.4,"72,397",40.1
4,Queens 13,4,"193,823",8.7,"101,052",46
4,Queens 14,4,"126,629",17.6,"64,280",41.8
5,Staten Island 1,5,"184,556",15,"81,246",38.8
5,Staten Island 2,5,"145,506",9.6,"91,734",41.4
5,Staten Island 3,5,"161,071",7.8,"108,376",42.3
